location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#date+start,#date+end
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,16.06,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,cereals and tubers,"Rice (small grain, imported)",25 KG,actual,Retail,ILS,180,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,410.6,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,63,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,250,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,32.75,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs","Meat (goat, with bones)",KG,actual,Retail,ILS,276.67,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,21.4,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Labaneh,500 G,actual,Retail,ILS,8,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,163.59,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Yogurt,500 G,actual,Retail,ILS,10.25,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,miscellaneous food,Sugar,KG,actual,Retail,ILS,13.75,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,miscellaneous food,Tea,KG,actual,Retail,ILS,18.33,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,non-food,Fuel (petrol-gasoline),L,actual,Retail,ILS,90,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,oil and fats,Oil (maize),3 L,actual,Retail,ILS,50.53,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,oil and fats,Oil (olive),KG,actual,Retail,ILS,82.43,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,12.55,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,pulses and nuts,Lentils,KG,actual,Retail,ILS,15.79,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,20.5,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,23.03,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,vegetables and fruits,Eggplants (large),KG,actual,Retail,ILS,22,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,vegetables and fruits,Tomatoes (greenhouse),KG,actual,Retail,ILS,16.07,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,4.71,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,cereals and tubers,Wheat flour,60 KG,actual,Retail,ILS,178.89,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,16.11,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,"meat, fish and eggs",Meat (beef),KG,actual,Retail,ILS,61.42,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,14.08,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,25.34,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,milk and dairy,Labaneh,500 G,actual,Retail,ILS,9.86,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,7.84,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,milk and dairy,Milk (powder),2.5 KG,actual,Retail,ILS,95.31,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,milk and dairy,Yogurt,500 G,actual,Retail,ILS,5.97,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,miscellaneous food,Salt,KG,actual,Retail,ILS,1.94,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,miscellaneous food,Sugar,KG,actual,Retail,ILS,4.56,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,miscellaneous food,Tea,KG,actual,Retail,ILS,16.56,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,oil and fats,Oil (maize),3 L,actual,Retail,ILS,30.44,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,pulses and nuts,Chickpeas,KG,actual,Retail,ILS,8.89,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,vegetables and fruits,Apples (red),KG,actual,Retail,ILS,9.01,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,vegetables and fruits,Bananas (medium size),KG,actual,Retail,ILS,5.17,2025-01-15,2025-02-14
PSE,False,True,West Bank,Ramallah and Albireh,PS01,West Bank,,,2,West Bank,31.97,35.33,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,ILS,7.14,2025-01-15,2025-02-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,cereals and tubers,Potatoes (medium size),KG,actual,Retail,ILS,5.69,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,cereals and tubers,Wheat flour (locally processed),50 KG,actual,Retail,ILS,80.42,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Eggs,2 KG,actual,Retail,ILS,29.63,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Fish (frozen),KG,actual,Retail,ILS,21.83,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,22.23,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Cheese (goat),KG,actual,Retail,ILS,11.71,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Labaneh,500 G,actual,Retail,ILS,8,2025-02-15,2025-03-14
PSE,False,True,Gaza Strip,Kan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,Gaza Strip,31.35,34.33,milk and dairy,Milk (pasteurized),KG,actual,Retail,ILS,8.07,2025-02-15,2025-03-14
