location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,,,,,,0,all,current,1979219,1.0,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,3+,current,1979219,1.0,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,1,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,2,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,3,current,395844,0.2,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,4,current,1069655,0.54,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,5,current,513720,0.26,2025-07-01,2025-08-31
PSE,False,True,,,,,,,0,all,first projection,1979219,1.0,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,3+,first projection,1979219,1.0,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,1,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,2,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,3,first projection,197922,0.1,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,4,first projection,1140651,0.58,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,5,first projection,640646,0.32,2025-08-01,2025-09-30
PSE,False,True,,,,,,,0,all,current,2100000,1.0,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,3+,current,1944000,0.93,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,2,current,156000,0.07,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,3,current,775000,0.37,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,4,current,925000,0.44,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,5,current,244000,0.12,2025-04-01,2025-05-31
PSE,False,True,,,,,,,0,all,first projection,2100000,1.0,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,3+,first projection,2100000,1.0,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,2,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,3,first projection,495500,0.24,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,4,first projection,1135000,0.54,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,5,first projection,469500,0.22,2025-05-01,2025-09-30
PSE,False,True,,,,,,,0,all,current,2140618,1.0,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,3+,current,1841061,0.86,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,1,current,0,0.0,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,2,current,299557,0.14,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,3,current,1044353,0.49,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,4,current,663721,0.31,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,5,current,132987,0.06,2024-09-01,2024-10-31
PSE,False,True,,,,,,,0,all,first projection,2140618,1.0,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,3+,first projection,1948092,0.91,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,1,first projection,0,0.0,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,2,first projection,192526,0.09,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,3,first projection,727681,0.34,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,4,first projection,875573,0.41,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,5,first projection,344839,0.16,2024-11-01,2025-04-30
PSE,False,True,,,,,,,0,all,current,2251457,1.0,2024-05-01,2024-06-30
PSE,False,True,,,,,,,0,3+,current,2133884,0.95,2024-05-01,2024-06-30
PSE,False,True,,,,,,,0,1,current,10000,0.0,2024-05-01,2024-06-30
PSE,False,True,,,,,,,0,2,current,107573,0.05,2024-05-01,2024-06-30
PSE,False,True,,,,,,,0,3,current,1148301,0.51,2024-05-01,2024-06-30
