location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
PSE,False,True,,,,,,,0,f,all,None,None,2697550,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,all,None,None,2785900,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,all,None,None,5483450,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,0-4,0,4,368327,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,5-9,5,9,324491,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,10-14,10,14,308052,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,15-19,15,19,275742,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,20-24,20,24,241676,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,25-29,25,29,233468,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,30-34,30,34,209131,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,35-39,35,39,161630,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,40-44,40,44,130813,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,45-49,45,49,113332,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,50-54,50,54,92638,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,55-59,55,59,77703,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,60-64,60,64,59347,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,65-69,65,69,40070,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,70-74,70,74,27365,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,75-79,75,79,16742,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,f,80+,80,None,17023,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,0-4,0,4,381924,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,5-9,5,9,340463,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,10-14,10,14,322845,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,15-19,15,19,287454,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,20-24,20,24,251733,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,25-29,25,29,244244,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,30-34,30,34,218167,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,35-39,35,39,163425,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,40-44,40,44,130315,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,45-49,45,49,115601,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,50-54,50,54,95640,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,55-59,55,59,82061,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,60-64,60,64,61804,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,65-69,65,69,39491,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,70-74,70,74,25425,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,75-79,75,79,14140,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,m,80+,80,None,11168,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,0-4,0,4,750251,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,5-9,5,9,664954,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,10-14,10,14,630897,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,15-19,15,19,563196,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,20-24,20,24,493409,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,25-29,25,29,477712,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,30-34,30,34,427298,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,35-39,35,39,325055,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,40-44,40,44,261128,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,45-49,45,49,228933,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,50-54,50,54,188278,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,55-59,55,59,159764,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,60-64,60,64,121151,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,65-69,65,69,79561,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,70-74,70,74,52790,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,75-79,75,79,30882,2023-01-01,2023-12-31
PSE,False,True,,,,,,,0,all,80+,80,None,28191,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,f,all,None,None,1098618,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,m,all,None,None,1127926,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,all,all,None,None,2226544,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,f,0-4,0,4,165462,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,f,5-9,5,9,139182,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,f,10-14,10,14,135532,2023-01-01,2023-12-31
PSE,False,True,Gaza Strip,,PS02,Gaza Strip,,,1,f,15-19,15,19,115384,2023-01-01,2023-12-31
